date,MKT,SIZE,INV,ROE
8/31/2019,-0.01295774,-0.011218127,-0.022716221,0.004826852
9/30/2019,0.006358106,0.014362397,-0.019851593,-0.00630902
10/31/2019,0.013326716,-0.014759561,-0.027628696,0.033933707
11/30/2019,-0.017106142,-0.014787767,-0.031129277,-0.003915821
12/31/2019,0.065594127,0.03060682,-0.016769818,-0.004572853
1/31/2020,-0.010843728,-0.006787083,-0.074550553,0.023567181
2/29/2020,-0.013788572,-0.008106175,-0.035706135,-0.024944981
3/31/2020,-0.05787111,0.085641338,-0.000236715,0.03780821
4/30/2020,0.04626813,-0.059435881,-0.063565383,0.076392099
5/31/2020,0.000613932,0.051479215,0.001477216,0.008997559
6/30/2020,0.07260386,-0.040421522,-0.075298213,0.0635894
7/31/2020,0.125407312,0.028317273,0.012261221,0.054457631
8/31/2020,0.022948153,0.060567088,0.03494045,0.019568778
9/30/2020,-0.055162698,-0.013708761,0.006000312,0.010266838
10/31/2020,0.010573379,0.008327325,-0.016002914,0.026299122
11/30/2020,0.041021441,-0.007922592,0.018943146,-0.04575787
12/31/2020,0.020300297,-0.12092881,-0.122966149,0.143147565
1/31/2021,0.002226255,-0.131612608,-0.097520266,0.130969889
2/28/2021,0.001120786,0.065883719,0.053301115,-0.017360938
3/31/2021,-0.026849513,0.081772954,0.043021327,-0.060104935
4/30/2021,0.011291446,-0.016452912,-0.062602039,0.037439065
5/31/2021,0.047710965,0.042917708,0.014584745,-0.026428285
6/30/2021,0.005903188,0.05367785,-0.018367121,0.016813391
7/31/2021,-0.04131714,0.055669079,-0.015647772,-0.043070285
8/31/2021,0.031656038,0.074958798,0.115852691,-0.052420452
9/30/2021,-0.002443174,-0.008730318,-0.024646706,0.009684799
10/31/2021,-0.002400812,-0.038435893,-0.084425751,-0.015404908
11/30/2021,0.017030616,0.141080077,0.043561391,-0.029064213
12/31/2021,0.012836006,0.067614981,0.072913188,-0.056083795
1/31/2022,-0.086001279,0.037807357,0.004469624,-0.022245064
2/28/2022,0.025580438,0.047589959,0.03127652,0.0190184
3/31/2022,-0.069951758,0.073546229,0.073586646,-0.046295069
4/30/2022,-0.06237988,0.058455093,-0.071489191,-0.222836745
5/31/2022,0.050639457,0.093949596,0.012604527,-0.038135341
6/30/2022,0.085332647,-0.013622229,-0.097227669,0.001723635
7/31/2022,-0.030225756,0.111188958,0.047579515,-0.048432613
8/31/2022,-0.02285591,0.004262945,0.020087207,0.001979287
9/30/2022,-0.066340976,-0.02352058,0.013829271,0.017595397
10/31/2022,-0.033882432,0.12850804,0.018382609,-0.106166246
11/30/2022,0.081600924,0.018029122,0.069712953,-0.042084001
12/31/2022,-0.01957689,-0.034493969,0.012813376,0.029198609
1/31/2023,0.063241089,0.047862496,-0.051658282,0.033072757
2/28/2023,0.002755347,0.05779889,0.086363801,-0.045407379
3/31/2023,-0.002565035,-0.011771244,0.052252465,-0.027243167
4/30/2023,0.003952506,-0.06811251,0.031103974,-0.025481183
5/31/2023,-0.032967628,0.091339742,0.02078301,-0.01536219
6/30/2023,0.010553956,0.041325878,-0.04612268,0.044977838
7/31/2023,0.03060346,0.012434176,0.05066918,-0.00296729
8/31/2023,-0.051909363,0.047700124,0.022370498,0.006893176
9/30/2023,-0.006532661,0.02241605,0.024217106,-0.007969859
10/31/2023,-0.025548839,0.041050409,0.039373163,-0.058565968
11/30/2023,0.001220105,0.121638714,0.0440786,-0.047031639
12/31/2023,-0.016886647,0.046419636,-0.02099509,0.027004452
1/31/2024,-0.087781183,-0.179490861,-0.014889311,0.144281282
2/29/2024,0.084340082,-0.120296943,-0.015103575,0.006623981
3/31/2024,0.013548501,0.074538887,-0.024846531,0.022282163
4/30/2024,0.014444614,-0.083869086,-0.0306935,0.066973952
5/31/2024,-0.008524213,-0.003845448,0.016391726,0.012003471
6/30/2024,-0.032717986,-0.07024803,-0.048009334,0.052998122
7/31/2024,-0.000796357,0.035613889,0.049387009,-0.052046484
8/31/2024,-0.031131894,0.007310378,0.019636203,0.0369848
9/30/2024,0.189877485,0.096624294,0.049745142,-0.054865318
